top - 20:54:04 up  3:56,  1 user,  load average: 0,49, 0,52, 0,56
Tasks: 225 total,   1 running, 223 sleeping,   0 stopped,   1 zombie
%Cpu(s):  0,0 us,  8,8 sy,  0,0 ni, 91,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7754,2 total,   2386,2 free,   2082,3 used,   3285,7 buff/cache
MiB Swap:   1560,0 total,   1560,0 free,      0,0 used.   4722,1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1725 wojtek    20   0  350312  29588  18568 S   0,0   0,4   0:06.66 ibus-extension-
   1728 wojtek    20   0  751848  67188  51896 S   0,0   0,8   0:00.39 evolution-alarm
   1740 wojtek    20   0  239788   7704   6980 S   0,0   0,1   0:00.09 ibus-portal
   1804 wojtek    20   0  344884  15280  13244 S   0,0   0,2   0:00.04 gsd-printer
   1817 wojtek    20   0  978564 180140  54100 S   0,0   2,3   0:07.92 snap-store
   1861 wojtek    20   0  306228  22836  15652 S   0,0   0,3   0:00.21 snapd-desktop-i
   1865 wojtek    20   0  626284  14304  11648 S   0,0   0,2   0:00.58 xdg-desktop-por
   1873 wojtek    20   0  378124  28676  20400 S   0,0   0,4   0:00.74 xdg-desktop-por
   1886 wojtek    20   0  166140   7780   6784 S   0,0   0,1   0:13.89 ibus-engine-sim
   1932 wojtek    20   0  346960  26196  18832 S   0,0   0,3   0:00.39 xdg-desktop-por
   2003 wojtek    20   0 2602020  28424  22784 S   0,0   0,4   0:00.15 gjs
   2087 wojtek    20   0  165568   6712   6088 S   0,0   0,1   0:00.02 gvfsd-metadata
   2644 wojtek    20   0  839616  64772  47424 S   0,0   0,8   1:29.49 gnome-terminal-
   3254 wojtek    20   0  422088  28844  21544 S   0,0   0,4   0:00.52 update-notifier
   3301 wojtek    20   0   13928   5548   3828 S   0,0   0,1   0:00.31 bash
   3681 wojtek    20   0   36,6g 137308 108136 S   0,0   1,7   0:05.98 github-desktop
   3685 wojtek    20   0   32,2g  48980  40532 S   0,0   0,6   0:00.04 github-desktop
   3686 wojtek    20   0   32,2g  49076  40812 S   0,0   0,6   0:00.04 github-desktop
   3688 wojtek    20   0   32,2g  10320   2012 S   0,0   0,1   0:00.00 github-desktop
   3700 wojtek    20   0  592440  94832  59728 S   0,0   1,2   0:29.67 Xwayland
   3710 wojtek    20   0  680292  81168  62252 S   0,0   1,0   0:00.44 gsd-xsettings
   3739 wojtek    20   0  196732  25420  18200 S   0,0   0,3   0:00.18 ibus-x11
   3757 wojtek    20   0   32,5g 129632  91772 S   0,0   1,6   0:10.42 github-desktop
   3771 wojtek    20   0   32,3g  65976  56704 S   0,0   0,8   0:01.39 github-desktop
   3777 wojtek    20   0   48,5g 205688 114680 S   0,0   2,6   0:27.26 github-desktop
   3905 wojtek    20   0   11,6g 499612 205772 S   0,0   6,3   4:13.41 firefox
   4136 wojtek    20   0  203768  35380  27168 S   0,0   0,4   0:00.08 Socket Process
   4158 wojtek    20   0 2410644  86588  65452 S   0,0   1,1   0:01.25 WebExtensions
   4181 wojtek    20   0 2452776 134712  81852 S   0,0   1,7   0:03.87 Privileged Cont
   4226 wojtek    20   0 1163032  18832  12924 S   0,0   0,2   0:00.05 snap
   4438 wojtek    20   0 2544432 207844 100472 S   0,0   2,6   0:14.98 Isolated Web Co
   4766 wojtek    20   0  120376   8084   5124 S   0,0   0,1   0:02.48 speech-dispatch
   4778 wojtek    20   0       0      0      0 Z   0,0   0,0   0:00.05 sd_espeak-ng-mb
   4785 wojtek    20   0  108116   9020   6388 S   0,0   0,1   0:01.35 sd_espeak-ng
   4819 wojtek    20   0  358216   6124   5400 S   0,0   0,1   0:00.92 sd_dummy
   4982 wojtek    20   0 2498900 168268  85632 S   0,0   2,1   0:06.99 Isolated Web Co
   5005 wojtek    20   0 2463236 117632  84680 S   0,0   1,5   0:02.45 Isolated Web Co
   5028 wojtek    20   0 2391980  80936  67276 S   0,0   1,0   0:00.49 Isolated Web Co
